fctype,fcid
Platinum,b125b4a0-a469-43d1-9730-478aee4f28e0
Platinum,9919e066-68b0-41c7-8d87-2f26f7076740
Silver,1fd7e5d9-d77c-4788-89dd-eac321bc7b9f
Silver,faab53a5-ed8b-4bbe-800d-8e4a9a6ec026
Gold,cd795f5e-43db-46c8-93c3-deee655f5d00
Platinum,12452362-e7b3-4509-996b-fe2a5037c418
Platinum,7206b701-9bb0-499e-b96f-6c29a8726c17
Silver,db9001fe-a1da-4ef3-9e38-699292895bf6
Gold,8b8b1c28-0827-41a0-aecf-3803feb830e1
Gold,4780d4d8-3179-4591-a716-a7df0fe805db
Platinum,aaa74de5-7e90-471c-89a2-c40276168820
Silver,b276b089-1b1a-435b-bca1-085027d2e203
Explorer,b8e83479-9621-442e-85f3-4a63a82ef4e9
Silver,6ec7633b-2f7b-4fbb-938f-f1341fae77cf
Gold,46580a98-2847-4214-b19c-4b6654c238a2
Platinum,7267b8e0-b3c9-4a8b-8139-080358d52afc
Explorer,69726433-6b7f-4db3-82e4-44b975cd8338
Silver,93486abc-d838-4d6e-a4ed-289253e3e694
Explorer,c28295f5-53c4-4c46-9b87-35bbf6668b65
Platinum,88bd0cb0-6304-4cbf-a4f3-cf193fb96ff2
Gold,862dd05b-54fe-4b14-b678-58d4ac1bd313
Explorer,37dc51e8-6bf0-43a4-91e6-25d18401d4f8
Platinum,a24140e0-94f8-4fdb-b949-7cc754c6b49d
Explorer,9644327e-61cb-4bf6-9fc7-babbe167874b
Silver,3e6fa147-6b47-4663-ae17-a9f4bb8a63b7
Gold,978cb359-abf4-4d29-80d2-900329aba07a
Silver,e023f670-dd8b-43fb-a6af-dc0f2aed4a43
Gold,99d57967-c22e-443f-95a3-6cb06f289b55
Explorer,aa496c82-caf4-46ab-9840-590110922611
Explorer,5ffc31fe-74c7-4a1d-a704-812633693197
Silver,5d561158-9498-41e2-93ea-8e9bc7bba74b
Gold,1c807afc-5d17-4ea5-873a-a5062a9cb83b
Platinum,b10d2dac-cc5f-497f-940e-80ba3b79b3fc
Explorer,8f2a7012-623e-442e-9cd1-d9acb4af5c81
Explorer,9de8b154-ca7b-4aed-b91e-667f8d7f6768
Gold,036d75ea-4212-488f-9f34-b86bdc603045
Gold,36d9c7bc-8aad-4b56-a28b-9b4ba7cb61f5
Silver,6d0bb1a8-b883-4605-9096-da6ffa6fe416
Gold,4145d04b-7980-4b73-93ae-64d7a8d671ea
Gold,b1510a73-ab9d-41ca-a92a-c7790b1b58e6
Platinum,b432bc4c-d91f-4f71-8353-dcc20830e512
Silver,e225a275-b4ee-4a24-99a2-f75a2e0bcb66
Platinum,ef580c62-94b4-4118-9173-98237bab1508
Platinum,3651e25d-dc45-4572-96ea-72de3042ca22
Explorer,60358072-199e-4600-abd6-a4f894b11af3
Gold,3e3fc5c7-af18-4d29-8709-a0e8aabc2d8d
Explorer,67f528e8-bacb-4044-9a2f-724e3e29ddc0
Silver,92e68ff0-577d-4aad-92bd-725bc94f1e71
Platinum,cd46b3c9-2f21-4435-9250-fc27987ec145
Gold,09222767-2762-4a0d-9f90-a561944da609
Explorer,a555b830-d0b9-4cd6-a797-210969536d4c
Explorer,f28a78c7-c539-4246-91f8-e58098ccdcbb
Silver,7fd41f02-1503-43de-9248-b209ed29f959
Explorer,6a52d87f-7da3-4619-bb41-9be62eff7df7
Silver,83f7b770-b837-41ad-b653-208c557c5678
Explorer,a32f9c95-5f78-412c-92e0-c3d876eb0c14
Platinum,3959142a-f3de-4f76-9f71-cbccf95a327d
Gold,33b3e348-ef5f-48ec-bd75-0be27670fa87
Silver,8825b536-b8d9-4f60-8c7b-5e59a8533818
Platinum,6f89a300-f336-42e4-936a-9b2eb3dc4a9a
Gold,82f176e9-d6cf-40f5-8bf1-578a2737a64d
Explorer,327f9315-cb1b-4fea-a7e7-13e6021369ed
Silver,43699812-0c08-49c8-8ddc-680f39e45048
Explorer,4a9ad471-b9f2-409b-af14-7dbbccf4c52c
Silver,a1a5763b-b019-443f-9b3f-0f1b62d51559
Gold,235f72c4-34b3-407c-845e-580decbc2d0b
Silver,7a7a5c27-8cbc-4213-9485-ae28dc3e5cca
Gold,9a41aad6-f950-4615-a098-7d2eaa0ddb69
Platinum,9fff366d-9a7d-4dc2-b0e3-2359e9ef6d55
Platinum,489c95d4-4148-40f1-9932-00c381add410
Explorer,bf03d4ad-c86c-4a6f-8eec-6ad078d8032d
Gold,0900f31d-fb46-4050-8c77-af00ae382628
Explorer,fa890632-034e-456a-b097-3cc9967216d0
Silver,d6af4599-ad5f-47ad-ae05-5f192c8bd833
Gold,8f716187-03c6-45f4-903f-f3a842403350
Explorer,fd2428fb-c11d-4084-84c0-c5746075b15b
Explorer,ef14eb1f-bad2-436b-884e-0b68e824fa29
Platinum,61f5b2b1-047b-4547-9830-31c54c135572
Explorer,82750b9e-d1ce-4d95-b21c-cde2c4899c27
Silver,788a104b-db08-404b-a43c-0552914027fb
Gold,dd71edbb-29df-4bb8-93d1-658d438adac0
Gold,6d3deaad-e7c8-4982-aea8-54d45b03850d
Platinum,1c976d1b-7dba-4e19-868a-229b42b28eab
Silver,150a22f6-7c29-4c82-bcf3-a5fb4bb32f65
Gold,3726bafc-8164-4423-aeea-6933f6bbad09
Platinum,09c39126-328a-432a-96ef-5f7cec3e13d0
Silver,275fcc5a-5481-4465-b4e0-c367e934a1eb
Gold,5a23482f-c637-474f-a8c1-dc1cfdc74d3f
Silver,11516197-e255-45d7-bd78-58bd5e2dd0b7
Platinum,c51206da-97ae-49c1-81c9-2d7ea373f93d
Explorer,1ae1c3ff-9b0a-499e-8366-8a09c8b9c0ec
Silver,e4c09aac-109a-40bd-bb1a-b30e830b786a
Silver,efda67b8-c5bc-45ef-8df4-526bb493a0d8
Platinum,41e7cf2f-3f9f-4293-9276-d7910cd559d1
Platinum,badc77ff-de29-479a-8e76-4fd7ca158893
Platinum,82df0e65-6087-4a9f-afec-6ea6c8951591
Explorer,7a239ff3-99cf-4e4a-a61d-42df1c4a8400
Silver,c3436897-a8d9-4823-a50b-65d69b729fe8
Explorer,a2640ded-6785-4444-8813-ba89835560ff
Platinum,7eb0b5a9-b58c-4412-bc49-c84aa22c527d
Explorer,7506f4bb-6483-4463-9f7c-c71af6940ba9
Gold,aaa6ab12-ab10-49a8-a005-e46fb57a83fd
Silver,c5f0c85f-8f04-41c8-98da-fa8b83017b61
Explorer,2ab76538-75d3-4868-9017-1d1b38a58708
Explorer,3efc13c3-43e2-4ab7-bf96-0c7822e0fc1f
Platinum,78acb95b-28b1-42ed-8858-4fa7a8a759eb
Silver,2fc19814-c833-48b1-aff0-1df67d0c5cee
Explorer,c9ec6688-4949-42a2-8157-2ae25dff9527
Gold,10fc10fd-6289-4791-b334-4f9eef4a9c62
Explorer,d89b09d2-185a-4bba-953b-cce497114445
Platinum,f7a9111e-c5c5-41c8-bfc1-9c3f5f8963b8
Explorer,42329754-ffe8-48f3-9114-461cdab7ae69
Gold,d342e683-0c42-474d-8752-1f43633904b5
Platinum,372f8052-adec-40fb-8e08-9531bf7d6115
Gold,f3375f3d-96dc-4b89-92fa-91acd4460d73
Platinum,6ddbca0b-7366-4072-b0e9-6f30fe49742d
Platinum,c2fa0867-98aa-4403-b9f4-63264c452cf7
Gold,3dc567b6-f77d-4341-9b47-9740ad88476e
Platinum,3851e753-874b-4b60-89cb-9f4d81125e9a
Platinum,20e5bbc3-932c-4887-8cb7-31892c982bed
Explorer,6b56fabb-756d-4ce5-994f-1bfd5897465f
Silver,bcdfe9a3-1e4b-4c5d-b980-59f5a5e9f9c9
Explorer,b92a773e-1a27-4d27-a7f1-bccc44dac410
Explorer,7f9335ab-bd1b-419e-b8a9-9b51b53576a2
Gold,f966daea-7859-4a15-831a-cf121d14ce3f
Platinum,644811e8-20ed-458e-94a1-67ea81c60cd2
Platinum,e803dec7-b3db-4b54-9f88-efd00ce32ba1
Explorer,dfd15810-9b1f-45e1-9cb6-c88dd081b4e0
Gold,2e374a76-51a6-41cb-ae30-91eb44b3e93d
Explorer,fd634857-91a1-4f5f-baa8-e39bd8f06089
Explorer,60b8334f-d25e-4d28-aa92-511c781d4841
Gold,4b80b3b5-b123-4f5d-91a1-700f3cb4b97b
Silver,9d11bbad-f4ff-4ef9-8bdc-92a89ea058b6
Explorer,20a972fb-840b-4041-97a5-e111383e8c81
Platinum,7da33d1b-ea38-46af-bc24-eff586ce91df
Platinum,844f05bb-ee57-42ba-af76-bd8413da14a4
Silver,3f96caac-2457-4752-9560-4b5049989766
Gold,ee3633d2-c8a6-425c-95b6-101703a5ac50
Silver,0318c6f4-fd02-42a6-b830-69c113fb73b4
Explorer,5981f141-0fd9-4bed-ad6e-d4d50488abaf
Silver,3005014e-ce98-49f8-a22c-e582f8290972
Silver,b5942422-a3bf-4ee2-83c6-66aad33dcc92
Explorer,e35afd82-c18a-4acc-9f44-08572d8f2458
Platinum,4eb72a3e-9436-4f69-9ba6-52dedcb4beae
Platinum,e2c7b461-e885-4fc1-802c-3e6f0fdaf3ea
Silver,3314dfa9-4b6b-4ad1-9ff4-30324d08cd51
Silver,6698e6ea-c33c-46c9-a603-cc2afa02d6ba
Gold,a2217046-3d8b-4b94-a570-5ea9da56d797
Explorer,8428d338-3002-48f0-9455-1726edb3101a
Explorer,ab2a0f13-d04e-4554-b8c8-ce5f20a05055
Platinum,8ef9a7e3-a53b-40cc-9cab-bad5c7901b94
Platinum,0229e0c2-372f-46eb-8a61-297ddef4cf5c
Explorer,bf2c1725-7d85-43e8-8de7-389b1c2af9c0
Platinum,89ce2ff9-8604-44cf-812e-72daa5004fdc
Silver,6e71f204-31d1-4909-8371-1ff736fb32c7
Gold,a159a14a-e7b2-462a-82ab-134f0a82e686
Explorer,e14db329-7aee-4d2d-b542-99e7e0cb589c
Explorer,84000c61-c361-481d-8ea6-cdeb8d711afe
Explorer,c1a425f3-e0c7-485c-a075-f9e98653414e
Explorer,777d8ac6-fcc1-49b4-bd43-bafd5f243f1d
Silver,9c8dc5d2-6741-4938-9c2f-ed22c8e627b8
Silver,fddecd18-a957-411b-a951-d8a61d81184f
Silver,546af921-73f0-41e4-9ba0-18c6609fd2f1
Platinum,ff188d17-f036-4716-803d-d5db35e16847
Explorer,cf1f12de-ed02-4230-a47c-823635d47eae
Platinum,a1770353-e05a-46de-86d0-38a40215847a
Platinum,b5de87ce-0f0b-4f54-9509-400a62a811b3
Gold,d8e04aaa-6023-4cf5-9684-29942792bde4
Silver,cfe630b4-eb68-4076-97c5-194991195a74
Gold,d80f1a34-e0f1-4bb6-86c7-619831f678c3
Gold,cc463b31-bcdc-437a-bd75-acde9ad8c80d
Silver,48712cca-d855-4b2b-a336-8d9d2b11a1b3
Platinum,a2d420b0-c0f0-43c9-bfb6-1e50fdf71410
Silver,81170352-a4b4-4c06-b1bd-df4b728bbd1d
Explorer,cc8f3d70-e34d-4a4d-a8ff-1020ac3055ad
Platinum,5ab735c8-042e-472a-9b99-59c3c91f73e5
Gold,26bd3d20-8646-45bc-9a9f-f003cc7a86ed
Gold,a61cfbeb-0eab-4694-8ade-f19d7bd8afd2
Silver,887f0656-3595-43b5-89f9-d28637a6ab14
Platinum,63d111fc-04e7-4661-bf98-8e5f8cdf7fb5
Explorer,ffb636db-b866-4789-aab5-3b6088d35da4
Platinum,a90bdd9f-e8d1-4a58-aba3-3f1cff532f52
Gold,731c8ed2-66df-4152-ac86-c61b6c8ca94d
Gold,e1d0b1de-4548-43d0-860b-5c98d115904b
Explorer,271801dc-a2ff-42f7-9d58-f6709da54bac
Explorer,01b45a4e-4b43-4353-9d03-a2b12812068d
Platinum,0189526b-3797-4faf-ab08-6acc80acb01f
Silver,68c395b3-4ac5-4729-9b22-cdb91c4c1a29
Silver,469571d7-39dc-4ec6-97a9-c02a2e5d5933
Gold,cd8ea34d-e12d-470c-89c1-ea67a5ef5320
Silver,1fa4ea6a-d206-448d-ba4c-29ea598ff3a3
Explorer,e6774171-4335-462e-84cf-5e104d6dc9e7
Gold,9bca2464-1d02-4e1e-91a9-2ed7b635e879
Silver,be5f44b8-79ac-4317-9bfb-caaa54bdc5f0
Gold,09acf96d-62c5-4283-a257-02b006cf4545
Explorer,1387cd55-ca0b-4065-80f6-a32bbc083e3f
Gold,a8a2be91-13cd-4979-8a8f-b93a321d47b2
Platinum,45e1342d-0fa2-41f0-b1ef-961bae9501af
Gold,277b99e2-8dc7-432e-8de5-7de5d0eb0a52
Silver,fa6ffe65-9966-429a-81fe-1942aeac33e8
Silver,f8c432c2-23b5-481c-b0fa-3893f622d08b
Explorer,9cf19021-f0dc-4b47-97c5-d74b8db4d12f
Platinum,83829e01-ba65-41e5-b0df-9f4efea0e809
Silver,44aec29d-4537-4dcd-90dc-b8cec46833e1
Platinum,aa7c52dd-2e32-4870-8061-238e3b219f97
Platinum,3df5b668-697b-4f2f-ae0b-e9f5bea66ca3
Explorer,13100d7d-979d-43c0-9afd-4825bc10793f
Explorer,07278cde-b5f4-43d6-9ad9-b19f420a139d
Gold,c9bebd72-f745-433f-8c40-3d44e778fe46
Silver,00da133e-0778-477f-a20e-ca74f27b55fc
Silver,d617b43e-bfc0-4b36-8a31-3903f5da2e62
Silver,bce37ebd-c553-4c82-bec2-81ccd4613417
Silver,39b0d8fe-1d9c-45f1-9c22-19701a7fe1d4
Silver,ed2779ea-a7bc-40c8-8b3f-f968c6ad7b85
Gold,1ebb9593-2494-4bc5-8a8c-61bbb56b0a12
Platinum,97035515-faf7-41cf-8295-d3de40d0a19f
Platinum,33f5878b-639d-4b84-bcd9-c001d1f3654f
Explorer,836d6ddb-4077-4d82-b84d-600b3e8744b4
Platinum,aa5dc327-2ea9-4413-8c1e-884653ecf0a9
Gold,26ac0101-2454-4aee-9627-30033d06128d
Gold,f9d41788-0ddd-4314-a422-dc579984a8b8
Platinum,6089ef45-2c54-4228-94e7-86bc6070cd86
Explorer,f52576aa-62ca-4e94-9a9b-a0247c5747d1
Explorer,2d856938-3d1e-4afe-b894-0d6ed4c82aa3
Silver,95092170-69fd-42c4-a4e4-8187c8f3eb58
Silver,f1c52cdd-3b88-4cb0-9080-e885343009c9
Gold,9bf168bb-b49e-4556-89c5-6ab0815aa8ce
Platinum,72ffa9a0-6447-44ff-aaa5-7246a895acd3
Gold,af210f5d-1fac-45cf-b145-60f5fa6d873e
Explorer,04566c16-fc2d-40e5-8ea9-f0c8d2d5573a
Platinum,c5958b91-b8d3-4c23-b5bd-b51f57766d14
Gold,c33ddc72-3f10-4c1f-8c9a-c192bb37cecf
Silver,15898bbb-2032-4fc1-8d69-ef480245d062
Silver,a9721142-670c-4be4-b0d6-b3b018c46262
Silver,fdd9f540-45ef-42bf-9d70-e30500b7c107
Silver,d47c578e-39db-407f-826e-b7575bc787e4
Gold,b707437b-d3da-4d1d-a13a-09910f872ede
Platinum,5255cfb4-ffb0-4bf6-86b2-da073bacc0f6
Gold,d0962574-a58f-4154-90a2-bf3121e6107c
Platinum,cb73cfa9-c249-441d-b511-4342de455d41
Silver,d59c24f1-2f09-4ec6-b0c9-8ea00d55df37
Gold,d80b33a6-1dac-47e2-a2dc-6830c66974f9
Gold,2cd70df1-8289-456f-809f-4857bfed9bb1
Explorer,66c5948e-a9f6-47c7-aca4-0126031ff2fa
Explorer,f7dc1b61-4c06-4222-b242-ee20e8984472
Explorer,5a7aaec5-3112-4cdd-afd4-6641a5923b33
Gold,74023844-01a7-48da-b747-d0e33dcf430e
Explorer,0164e639-6d0e-41ef-befd-17e6a6dccb98
Explorer,6d9ffa89-3a01-4dab-92ca-2a24ccb63537
Gold,7c03c5fd-7a27-47ab-b450-73347fc55218
Explorer,8fedee19-fc64-4d04-8be7-47a21c02791d
Explorer,1255a1b5-4ed3-4e3f-a507-dfb92677b6da
Platinum,d1de7b0b-d5f8-4c5e-bb57-49f5dcbc5aa6
Gold,5996c28c-8054-4a44-b2ee-305e7ec85b9b
Silver,5d0ffbba-10a6-4e41-81e1-d450f7fd2681
Explorer,7a82f47b-628d-4f30-aa9e-8ce1eb746968
Gold,7af279bd-b42e-45c9-8393-b98ace609ef2
Gold,1d27ba16-209a-4908-bf35-99885515f175
Silver,b77ff470-b70e-43dc-8e69-0a0d7d3aa824
Explorer,dc2b4300-566c-4f3c-9741-4f87a2211b96
Platinum,321946fa-8a38-4515-b894-1b6f9e328229
Platinum,1b5d51b9-371f-4279-b1b0-1ce351faa692
Platinum,59bea263-e1ef-467c-9ebb-2d2ec3680655
Explorer,f09cd0d4-940a-4214-a96e-b34da771a505
Platinum,bc49f5ad-0bf4-4b15-8290-e08de774ea08
Platinum,1b6ae7a9-e7d5-40d5-a8f3-1bddbf087595
Platinum,b217418b-f008-448c-8320-1b03f9469e71
Explorer,c406b696-cb11-45ce-81bc-5b7708b43979
Silver,1efe09af-37dd-4ed6-8458-21a95a4ed1ad
Gold,21e84f49-2e32-4106-9a9b-47170347da85
Silver,433135cb-115c-4ff6-8391-3d2b5372eef6
Silver,dc8f4585-95f3-4395-a3f1-5d13b943c6a2
Explorer,20f411e5-82dc-495d-8e11-ade9bc47b0e1
Silver,852b69b4-98c3-4268-82b4-10e706c6d8b4
Explorer,368ad32e-4bb3-475e-9423-63806244d36a
Gold,faf0696b-51db-491e-9e19-60bad1d09374
Silver,4f711dd1-23ec-4295-9a85-69fe0eb72da1
Gold,d7c97a42-c5d9-4d01-84f9-4df6913942c0
Gold,9ae70930-f028-4239-9d4c-53ad6cc517ae
Explorer,2378501e-08d6-47d2-9d97-562a11c191cd
Silver,94983441-5a9d-4057-b039-954578e0a4e3
Silver,961e437c-b37f-4a4e-a323-96d2633c09cd
Silver,8a3e9e51-e950-4644-bf07-41efe5d988f7
Gold,31448657-4a86-426d-9512-4dc53e8c5c27
Silver,00029529-770c-4ccd-aafe-9233d79514ca
Platinum,361a31ae-89af-4b54-8f97-96439b8a2523
Gold,0e0fe8da-9a84-41d0-bb6e-079769d17d99
Gold,b8d1878c-373f-4d28-899e-5fb4405ae55a
Platinum,e546e2fd-ce11-4b66-9e21-a953c47f8ad6
Gold,a8fe9f3f-fc2f-430e-90c3-117d5d38223c
Gold,bd853790-e690-4932-8aa4-53e2810d2c12
Platinum,e43e14e8-9a82-447e-923f-4056633e6bda
Platinum,3f5e872a-1357-45a1-86d7-45d8ada5ec5d
Gold,c4c1c5eb-5bc4-457e-ac44-e93dd05749bc
Explorer,4050a27c-7141-4353-99da-8816a45e10b1
Silver,187c1660-1d8b-4d2b-a92a-9acf9443a604
Gold,3ec5ae3b-83e2-4d49-8084-77b9af65712f
Gold,378c8dff-88b5-4167-ab36-657fd447c4d4
Silver,991d4c2f-ee49-4c59-b461-b8c58c88b754
Platinum,b83bb52d-26bd-46d0-8e9b-bf2018bbae51
Explorer,fba0cfd4-8092-48fd-af6f-7769047eb2d8
Silver,064412ef-3fb6-4a5f-ba16-20bf0f40f5cd
Gold,65a43f40-739f-450f-9e36-e4a398050e80
Silver,a96b5376-6e3e-452d-b5df-07cf939ebc51
Gold,0acf27a2-0fe0-46bd-9f0b-bd0c16ac4543
Platinum,fa2d6939-db62-4198-99d5-d921775203f5
Gold,db4de463-0a1e-48ee-8b64-7e3fe8a32b0a
Silver,9f8e7646-248f-42a3-aedd-5567f3fe8ded
Platinum,22d135ce-e72f-4324-92c8-052a27bd6d50
Silver,bc9172c6-85e4-482b-8563-d6154d02d69f
Platinum,22b99740-556d-48fb-8135-18420c08e466
Platinum,cfb6b7cd-37a6-49d5-bde5-1a9f05c96db1
Gold,544202d1-8868-41b0-9804-a5f1ba67d23a
Silver,3e0aced8-7d52-4ceb-9b42-2f0e9ccf76d5
Explorer,69b095ff-2339-47f9-8def-528a4bb18726
Explorer,6bacfefb-f999-478e-be98-eb2e55bdc6c6
Explorer,fe3c28a6-7972-4260-a070-cfc176c2a4f8
Gold,89982a35-d143-4228-990f-a1ddc513e889
Gold,a3d58679-be17-4a25-93fd-f79957312b2a
Explorer,a5b255bc-c93d-4c36-8c2d-f650bc6dcf61
Explorer,3531bd48-e6a4-436b-9935-dfb3ab740ae1
Platinum,4929ee1b-2799-486d-81d8-5f09ec33e48b
Explorer,3f24687b-46b7-4ce5-9f80-667d1d8251f6
Gold,63f03540-14a6-4b61-b486-9c179368baf7
Silver,7b8f1acf-3340-4234-9602-8efb56e18d66
Explorer,0e3f79b6-3486-4e1f-9af4-61f9d69c59de
Gold,60ba8ebd-8034-4948-ad4a-40c5bfb994a1
Gold,71daa083-569f-4728-b60f-1cf6a2e21ce9
Gold,d4fd3efc-30ca-4e0d-903d-f3384440c85e
Silver,a04918c1-0899-4901-966f-5e49c31ade05
Platinum,4a35cbfc-8920-49e7-9d34-72ffa8ecdf66
Explorer,59d91ffd-e55a-4f60-b5ce-e6ed6a15f955
