registrationNumber,airline,model
134,All America CO,B738
135,Air Jamaica,A388
136,Click (Mexicana),DH8D
137,Homer Air,AT76
138,RegionsAir,A319
139,National Airlines,DH8D
140,Braathens,B739
141,Luchsh Airlines ,B772
142,Avirex,A321
143,Bulgaria Air,A332
144,Vueling Airlines,A388
145,Air Chathams,B772
146,JSC Transport Automated Information Systems,B77L
147,Eastwind Airlines,B737
148,Avianova (Russia),A332
149,Jetstar Pacific,B763
150,Hellenic Airways,B77L
151,New England Airlines,B763
152,China Northwest Airlines,C172
153,Japan Transocean Air,AT75
154,Corse-Mediterranee,DH8D
155,EVA Air,B77L
156,SNCF,B77L
157,KSY,A388
158,Japan Transocean Air,B788
159,Guine Bissaur Airlines,E170
160,Itek Air,B77L
161,Yunnan Airlines,DH8D
162,Harmony Airways,A388
163,Airblue,A333
164,Centavia,B738
165,Nazca,A320
166,Air Moldova,B77L
167,TUI Airlines Belgium,B738
168,Air Corridor,B77W
169,Jetclub,B739
170,Gomelavia,A333
171,United Feeder Service,AT76
172,Lina Congo,C172
173,Air Nippon,B788
174,SAETA,AT76
175,Contact Air,A319
176,Onur Air,B789
177,Siem Reap Airways,A333
178,SAETA,E170
179,Caucasus Airlines,B737
180,ITA Software,DH8D
181,China Cargo Airlines,B788
182,Azerbaijan Airlines,CRJ9
183,PB Air,B744
184,National Jet Systems,B739
185,Atlantis European Airways,B739
186,Eastar Jet,B788
187,AeroWorld ,B789
188,Aigle Azur,C172
189,Pakistan International Airlines,AT75
190,Ada Air,B77L
191,Swe Fly,B739
192,Tandem Aero,B789
193,Air Kenya (Priv),A333
194,Air Nippon,E190
195,Linea Aerea de Servicio Ejecutivo Regional,B752
196,Aeromexpress,A319
197,Aserca Airlines,B788
198,Alaska Central Express,AT75
199,Korongo Airlines,C172
200,Piedmont Airlines (1948-1989),B738
201,Calima Aviacion,B788
202,Illinois Airways,B738
203,Hainan Phoenix Information Systems,B752
204,Maxair,B737
205,China Northwest Airlines (WH),B772
206,INFINI Travel Information,B763
207,Avient Aviation,B738
208,Aguilar Connect,B77L
209,Air Saint Pierre,B77W
210,Tatarstan Airlines,B744
211,LSM AIRLINES ,CRJ9
212,Silver Airways (3M),E190
213,Aero Airlines,AT76
214,Bobb Air Freight,C172
215,Skybus Airlines,AT75
216,Varig Log,B772
217,Amber Air,AT75
218,Braniff International Airways,E190
219,Atlantic Airways,A320
220,Far Eastern Air Transport,DH8D
221,Serbian Airlines,DH8D
222,Hong Kong Express Airways,A320
223,JALways,B772
224,Gorkha Airlines,B738
225,Air Service Gabon,A388
226,Fly Colombia ( Interliging Flights ),B739
227,Cambodia Angkor Air (K6),A388
228,Northwest Regional Airlines,A319
229,Euromanx Airways,A333
230,Nepal Airlines,E170
231,Wings Air,A321
232,Palau Trans Pacific Airline,A321
233,Senegal Airlines,C172
234,Gandalf Airlines,B752
235,Rio Grande Air,AT76
236,dba,A333
237,Gol Transportes Aéreos,B738
238,Arik Niger,B788
239,Island Express,CRJ9
240,Deutsche Bahn,B788
241,Thai Smile Airways,E190
242,Pacific Express,B752
243,Island Express Air,A319
244,Cubana de Aviación,C172
245,MasAir,E190
246,Cyprus Turkish Airlines,B77L
247,Europe Jet,B77W
248,Air Atlantic,DH8D
249,Air Astana,B77L
250,RACSA,B789
251,Air India Regional,A321
252,America West Airlines,B772
253,Vuela Cuba,DH8D
254,Slok Air Gambia,A333
255,Maldivo Airlines,A319
256,Japan Airlines,AT76
257,Hawaiian Airlines,AT75
258,TransAsia Airways,B77L
259,Avient Aviation,AT75
260,SmartLynx Airlines,B772
261,Jetclub,B739
262,Aztec Worldwide Airlines,A332
263,Finnair,C172
264,Faso Airways,DH8D
265,Servant Air,A320
266,PMTair,B738
267,Real Tonga,B744
268,Sky Regional,E170
269,Tandem Aero,DH8D
270,Gabon Airlines,A319
271,Maxair,A321
272,Air Cargo Germany,B789
273,Air Vanuatu,B752
274,Genesis,B752
275,All America CO,B789
276,Iran Aseman Airlines,B738
277,Origin Pacific Airways,A388
278,First Air,B737
279,Northern Dene Airways,B788
280,Pakistan International Airlines,DH8D
281,Samurai Airlines,B763
282,Nas Air,C172
283,Red Jet America,B772
284,Sat Airlines,A333
285,Aeroline GmbH,B788
286,Transavia France,B77L
287,MAT Macedonian Airlines,B77W
288,Ukraine International Airlines,B772
289,KLM Cityhopper,B739
290,Spring Airlines,B739
291,L.A.B. Flying Service,E190
292,Albanian Airlines,B77L
293,Cirrus Airlines,A320
294,Kenya Airways,B788
295,National Airlines,B737
296,Regionalia Venezuela,B744
297,Yellowtail,A319
298,Air Caraïbes,A321
299,Sirena,B738
300,Jetclub,B739
301,Heli France,A321
302,Jettor Airlines,B739
303,Med Airways,B739
304,Airshop,A333
305,Peach Aviation,A388
306,Nik Airways,B77W
307,Aer Arann,B789
308,Amaszonas,AT76
309,Neos,B77L
310,Shovkoviy Shlyah,A333
311,Aero California,AT76
312,Air Tanzania,AT75
313,Air Volga,E190
314,Air Serbia,A321
315,Amsterdam Airlines,E190
316,Hawaiian Airlines,B772
317,Avient Aviation,AT76
318,XPTO,A319
319,West Air China,A332
320,Aero California,E170
321,Jusur airways,A332
322,Papillon Grand Canyon Helicopters,B744
323,Galileo International,B77W
324,Aeropelican Air Services,A333
325,Virgin Pacific,B737
326,VLM Airlines,B77W
327,Kuban Airlines,B763
328,Rwandair Express,B752
329,VOLOTEA Airways,B744
330,Crossair Europe,B77L
331,All Europe,B788
332,FOX Linhas Aereas,B77W
333,Era Alaska,E170
334,Continental Express,A332
335,Air Transat,B789
336,Brit Air,B744
337,Cyprus Airways,E170
338,PMTair,B788
339,Thai Sky Airlines,C172
340,All America,B789
341,All America BR,B763
342,VOLOTEA Airways,B77L
343,Pan Am World Airways Dominicana,B772
344,Malév,B763
345,Asia Wings,B737
346,Sutra,A321
347,Arrow Air,B752
348,Jetstar Pacific,A319
349,Gemini Air Cargo,A333
350,Air Georgia,AT75
351,Astraeus,B77W
352,buzz,B763
353,ALAK,A320
354,Peninsula Airways,A320
355,STP Airways,B744
356,Sunwing Airlines,B737
357,Scandinavian Airlines System,B739
358,Braathens,DH8D
359,Sky Regional,B772
360,Atlantic Southeast Airlines,E170
361,Continental Micronesia,B789
362,Canadian Western Airlines,E190
363,Kenmore Air,A333
364,Florida West International Airways,A388
365,Monarch Airlines,B789
366,Heavylift Cargo Airlines,A388
367,Air Srpska,A321
368,CAL Cargo Air Lines,A388
369,VIA Líneas Aéreas,A319
370,Canadian Airlines,B739
371,Rio Sul Servi,A321
372,Asian Spirit,E190
373,Alaska Seaplane Service,A332
374,Novair,B77L
375,FlyPortugal,B738
376,Eurowings,E190
377,AirLiberté,B737
378,Air Comores International,C172
379,Kenya Airways,B789
380,Lufttransport,B772
381,Svyaz Rossiya,B744
382,Air Luxor GB,AT75
383,Gryphon Airlines,E190
384,Libyan Arab Airlines,A332
385,Pinnacle Airlines,A320
386,AirTran Airways,CRJ9
387,Estonian Air,B763
388,Askari Aviation,B752
389,Cubana de Aviación,B738
390,Fly 6ix,E170
391,Air Urga,B739
392,Nordic Regional,B739
393,Viasa,B789
394,Mahan Air,B738
395,Voyageur Airways,B744
396,Empresa Ecuatoriana De Aviacion,B788
397,Grant Aviation,A319
398,Nordeste Linhas Aereas Regionais,B772
399,GoJet Airlines,A320
400,Elysian Airlines,E170
401,Berjaya Air,DH8D
402,Excel Airways,B738
403,Air Canada Jazz,C172
404,Transaviaexport,A388
405,BAX Global,B752
406,Maldivo Airlines,A319
407,BudgetAir,DH8D
408,Far Eastern Air Transport,C172
409,Imair Airlines,A388
410,Polynesian Airlines,B738
411,OneChina,DH8D
412,El Al Israel Airlines,E170
413,Myanma Airways,B738
414,S7 Airlines,B737
415,TACV,A320
416,Avolar Aerolineas,A333
417,National Jet Systems,C172
418,Transwest Air,AT76
419,Royal Brunei Airlines,AT75
420,Finnair,E170
421,Sibaviatrans,C172
422,DHL de Guatemala,A320
423,Aeromar,B744
424,Germania,B788
425,Asian Wings Airways,A319
426,Aero Asia International,B789
427,Air Japan,A320
428,Our Airline,B772
429,Air Luxor GB,B738
430,Zambezi Airlines (ZMA),B763
431,Great Lakes Airlines,B752
432,Air Hong Kong,B763
433,Avianova (Russia),B744
434,Miami Air International,E170
435,Finncomm Airlines,E170
436,Jetclub,E170
437,Daallo Airlines,B744
438,Аэросервис,A388
439,XAIR USA,A321
440,TAN-SAHSA,CRJ9
441,FOX Linhas Aereas,C172
442,Zimbabwean Airlines,E190
443,Scorpio Aviation,B772
444,Citilink Indonesia,B772
445,Metro Batavia,B738
446,Adam Air,AT76
447,Air Ivoire,A321
448,DHL de Guatemala,B752
449,Air Class Lineas Aereas,A332
450,Eos Airlines,AT76
451,Yunnan Airlines,E170
452,Arcus-Air Logistic,C172
453,THREE,A388
454,Regional Paraguaya,B752
455,Régional,B789
456,Wings of Alaska,AT75
457,Flightline,B738
458,Arik Niger,AT76
459,GoDutch,E190
460,Baker Aviation,E170
461,Voyageur Airways,B744
462,Interair South Africa,E190
463,NEXT Brasil,B744
464,Southwest Airlines,A332
465,Huaxia,CRJ9
466,Kostromskie avialinii,A319
467,Ansett Australia,B752
468,Global Airlines,A319
469,Pacific Southwest Airlines,DH8D
470,DHL International,B737
471,Air Gabon,A388
472,Brit Air,B788
473,Pan Am World Airways Dominicana,B744
474,Ghana International Airlines,A320
475,Palestinian Airlines,CRJ9
476,Héli Sécurité Helicopter Airlines,B739
477,Air Choice One,B744
478,Aircompany Yakutia,B789
479,SENIC AIRLINES,B772
480,Jetstar Asia Airways,A321
481,L,B77L
482,Transwest Air,C172
483,Nouvel Air Tunisie,A321
484,Camai Air,B737
485,Calm Air,A333
486,Mauritania Airlines International,B77W
487,Lviv Airlines,A388
488,Pan American Airways,A320
489,DAS Air Cargo,B789
490,Azul,B77L
491,Iraqi Airways,AT75
492,PEGASUS AIRLINES-,B752
493,Zoom Airlines,B763
494,Air Arabia,B739
495,Royal Khmer Airlines,B739
496,Trans Mediterranean Airlines,E170
497,Airborne Express,B752
498,Scoot,B77L
499,Xtra Airways,AT76
500,Thai Sky Airlines,B738
501,Consorcio Aviaxsa,E190
502,Conviasa,A333
503,Baker Aviation,A320
504,TAME,C172
505,Pacific Express,CRJ9
506,CanXpress,A320
507,Kostromskie avialinii,B737
508,Lao Airlines,C172
509,Euro Harmony,AT76
510,TACA Peru,B77W
511,Royal Tongan Airlines,C172
512,Singapore Airlines Cargo,B77W
513,Transavia France,AT76
514,Sterling Airlines,B763
515,Coast Air,CRJ9
516,EUjet,CRJ9
517,Asian Wings Airways,A319
518,Sierra National Airlines,A321
519,TAM Mercosur,AT76
520,Buffalo Airways,B752
521,Régional,B739
522,Alinord,B738
523,LOT Polish Airlines,B77W
524,Air Koryo,B772
525,ELK Airways,A333
526,Royal Aruban Airline,A321
527,Daallo Airlines,B788
528,Access Air,B738
529,CityJet,E170
530,Afrinat International Airlines,B752
531,Tropical Airways,C172
532,Royal European Airlines,A321
533,Air Marshall Islands,AT75
534,Mandala Airlines,B788
535,Royal Air Cambodge,C172
536,National Airways Cameroon,E170
537,San Juan Airlines,A320
538,Overland Airways,A320
539,SkyKing Turks and Caicos Airways,B752
540,Tiger Airways Australia,B744
541,Air Kiribati,B738
542,SNCF,B789
543,REXAIR VIRTUEL,B763
544,JSC Transport Automated Information Systems,CRJ9
545,Lion Mentari Airlines,A319
546,Hex'Air,DH8D
547,Hong Kong Airlines,B772
548,Air India Limited,AT75
549,Air Kenya (Priv),B772
550,Sky Express,B789
551,Cargojet Airways,A332
552,Hawaiian Pacific Airlines,A320
553,Grant Aviation,B752
554,Dana Air,B752
555,ITA Software,AT75
556,Felix Airways,C172
557,Haiti Ambassador Airlines,A332
558,Midway Airlines,AT76
559,International Flying Service,A320
560,TACV,B744
561,Caucasus Airlines,B744
562,Princess Air,AT76
563,Galileo International,B789
564,SOCHI AIR,B77W
565,Voestar,B752
566,Cyprus Airways,B738
567,El-Buraq Air Transport,A332
568,Fly Colombia ( Interliging Flights ),B788
569,UTair Aviation,A320
570,Aero Asia International,A321
571,Air Indus,A333
572,MexicanaLink,B77L
573,Congo Express,B772
574,City Connexion Airlines,B788
575,Tropical Airways,A333
576,U.S. Air,C172
577,Flyglobespan,A388
578,Airblue,AT75
579,CHC Airways,B737
580,Hawaiian Airlines,DH8D
581,Wizz Air,CRJ9
582,Business Aviation,A319
583,Silk Way Airlines,A320
584,XL Airways France,C172
585,Aero California,B77W
586,Sirin,A321
587,Rainbow Air Polynesia,A321
588,Baikotovitchestrian Airlines ,E190
589,Peach Aviation,B77L
590,Alinord,A388
591,Sharp Airlines,B752
592,Thai Star Airlines,A319
593,Saudi Arabian Airlines,B789
594,Gandalf Airlines,DH8D
595,Line Blue,C172
596,Swiss International Air Lines,B788
597,KLM Cityhopper,A332
598,Republic Express Airlines,B789
599,Air Ivoire,A333
600,Kenmore Air,DH8D
601,Liberty Airways,A332
602,South African Airways,C172
603,Grupo TACA,B789
604,Ryan International Airlines,A333
605,TACV,B744
606,BACH Flugbetriebsges,AT75
607,Polynesian Airlines,A321
608,Corse-Mediterranee,A321
609,SATA International,B739
610,GoJet Airlines,B763
611,Pelita,B744
612,Regionalia Chile,B772
613,Lagun Air,B788
614,Air India Regional,B763
615,Samara Airlines,A388
616,Monarch Airlines,B737
617,China United,B738
618,US Airways,A320
619,Rainbow Air Canada,C172
620,Our Airline,B77L
621,TAM Mercosur,CRJ9
622,Hawkair,B744
623,Mandala Airlines,C172
624,Linhas A,B737
625,Kenmore Air,B77W
626,All Spain,E190
627,Aviaexpresscruise,B752
628,Aigle Azur,B77W
629,China SSS,E170
630,Аэросервис,B737
631,AlMasria Universal Airlines,A333
632,Air Atlantic,A320
633,SGA Airlines,A332
634,Pan American World Airways,B738
635,Allegro,B752
636,Aero VIP,E190
637,Avilu,A332
638,Enkor JSC,B739
639,Jat Airways,B739
640,JALways,AT75
641,Kish Air,B789
642,California Western,B744
643,Ozark Air Lines,E190
644,AeroRep,B772
645,Pan Am World Airways Dominicana,AT76
646,INFINI Travel Information,B77L
647,Skywalk Airlines,E170
648,AOM French Airlines,B77W
649,Sunwing,B739
650,Black Stallion Airways,B772
651,Civil Air Transport,B752
652,Fly Colombia ( Interliging Flights ),B763
653,Kostromskie avialinii,A332
654,INFINI Travel Information,A320
655,Kibris T,B763
656,Adria Airways,A319
657,Norwegian Air Shuttle,B738
658,Air Fiji,B788
659,Nas Air,DH8D
660,KMV,A333
661,Changan Airlines,B744
662,Southern Winds Airlines,B788
663,Potomac Air,B744
664,Air Vistara,B739
665,Peruvian Airlines,C172
666,SOCHI AIR CHATER,B752
667,THREE,AT75
668,EVA Air,AT76
669,Liberty Airways,AT75
670,Island Express Air,AT75
671,Vietnam Airlines,A321
672,All America BR,DH8D
673,Dennis Sky,A332
674,Royal Air Maroc,B789
675,Air Volga,B77W
676,Zambia Skyways,B789
677,REXAIR VIRTUEL,CRJ9
678,Huaxia,B752
679,Air Greenland,B789
680,Indonesia AirAsia,B737
681,Air Andaman (2Y),AT75
682,Safi Airlines,A320
683,Deutsche Luftverkehrsgesellschaft,E190
684,DAS Air Cargo,E190
685,LSM Airlines,B763
686,Air Malta,AT76
687,Air Luxor,CRJ9
688,Avialeasing Aviation Company,B788
689,FOX Linhas Aereas,A332
690,US Africa Airways,B789
691,Felix Airways,CRJ9
692,Aero-Tropics Air Services,B772
693,Cargoitalia,B738
694,AirAsia X,E170
695,Atlasjet,B772
696,Cubana de Aviación,A320
697,Globus,B763
698,Air Ivoire,AT76
699,SAETA,B752
700,TransRussiaAirlines,B763
701,Nauru Air Corporation,E190
702,Air Arabia,A320
703,Hong Kong Airlines,B789
704,Iberia Airlines,B788
705,Royal Airlines,B772
706,Orenburg Airlines,E190
707,Saudi Arabian Airlines,C172
708,LOT Polish Airlines,AT75
709,Marusya Airways,AT75
710,Regionalia Chile,CRJ9
711,Minerva Airlines,DH8D
712,Seaborne Airlines,A320
713,Surinam Airways,DH8D
714,Wright Air Service,B752
715,Florida Coastal Airlines,E170
716,Transavia France,B752
717,Transavia Holland,B772
718,Aircompany Yakutia,B744
719,Aéris (Priv),B77W
720,Air Burkina,B752
721,Aer Arann,AT75
722,Itali Airlines,A333
723,Qatar Airways,B752
724,Islas Airways,A320
725,Astral Aviation,B77W
726,Tway Airlines,B744
727,SkyBahamas Airlines,B77W
728,Private Wings Flugcharter,A333
729,Asiana Airlines,B77L
730,Sharp Airlines,CRJ9
731,Aguilar Connect,B739
732,Camai Air,B788
733,EuropeSky,E170
734,Syrian Arab Airlines,A320
735,ABX Air,B788
736,Vueling Airlines,B772
737,Atlant-Soyuz Airlines,B772
738,Uzbekistan Airways,E170
739,Corse-Mediterranee,E170
740,Maldivo Airlines,B738
741,Air Hong Kong,E190
742,Hokkaido International Airlines,AT76
743,FlyPortugal,B752
744,Paramount Airways,B763
745,Maersk,DH8D
746,Thai Star Airlines,AT75
747,Lauda Air,B738
748,Air Srpska,B744
749,Air Georgia,B772
750,National Airways Cameroon,A319
751,Sibaviatrans,A332
752,Caribbean Wings,B788
753,JALways,A320
754,Ryan International Airlines,A388
755,Kyrgyzstan,B789
756,Air Indus,AT75
757,South West Africa Territory Force,B737
758,Condor Flugdienst,B772
759,Braathens,B737
760,Midwest Airlines (Egypt),B737
761,Chicago Express (C8),A388
762,Cargo 360,A319
763,Dagestan Airlines,A332
764,CAL Cargo Air Lines,B744
765,Cargojet Airways,DH8D
766,Perm Airlines,A333
767,Air Urga,B77L
768,Polynesian Airlines,B788
769,Air India Regional,B789
770,Sky Eyes,A332
771,Zambezi Airlines (ZMA),B739
772,Amaszonas,AT75
773,Mauritania Airlines International,E170
774,Luxair,B752
775,Japan Airlines Domestic,AT76
776,Asia Wings,A320
777,National Air Cargo,C172
778,Maldivian Air Taxi,B772
779,Zest Air,B744
780,Red Jet Canada,A333
781,Apache Air,AT76
782,World Experience Airline,A333
783,Rio Grande Air,B752
784,Hong Kong Express Airways,B752
785,Eurolot,A333
786,MexicanaLink,A333
787,Lufthansa,A332
788,Pacificair,B77W
789,Air Nippon Network Co. Ltd.,C172
790,Aircompany Yakutia,E190
791,Jetstar Airways,B739
792,China Airlines,AT75
793,SATENA,B752
794,Air Baltic,AT76
795,Siren-Travel,B763
796,Transmile Air Services,B763
797,International Flying Service,AT76
798,TAAG Angola Airlines,A321
799,Itek Air,DH8D
800,Japan Air System,B737
801,Euromanx Airways,B752
802,Kingfisher Airlines,B744
803,Overland Airways,A321
804,Asiana Airlines,E170
805,SkyEurope,A321
806,Aerolineas Argentinas,B77L
807,Haiti Ambassador Airlines,A332
808,Atlantis European Airways,A319
809,Tol-Air Services,B77L
810,Tri-MG Intra Asia Airlines,A320
811,Via Conectia Airlines,B763
812,Air Rarotonga,A321
813,Iberia Express,E190
814,Aéris (Priv),CRJ9
815,Tramm Airlines,A333
816,Air Astana,CRJ9
817,Sabre Pacific,B739
818,Pamir Airways,A333
819,Avensa,A332
820,Qatar Airways,A320
821,Sabre Pacific,B752
822,Lufthansa,B77L
823,All America BOPY,A388
824,Changan Airlines,A319
825,Cargo 360,A321
826,Centralwings,B738
827,Camair-co,A321
828,MHS Aviation GmbH,CRJ9
829,Island Express,C172
830,Great Wall Airlines,B789
831,Astral Aviation,B763
832,Air Santo Domingo,B77W
833,Cape Air,AT75
834,China Airlines,B738
835,Cimber Air,E190
836,Aviaexpress,CRJ9
837,FlyPortugal,B789
838,Air Sinai,B788
839,Nauru Air Corporation,AT76
840,Eastern Atlantic Virtual Airlines,A321
841,Astral Aviation,A321
842,DAS Air Cargo,A319
843,Aero-Service,B752
844,African Safari Airways,A320
845,FlyPortugal,E190
846,Airlink Zambia,A388
847,Swe Fly,B77L
848,Thai Star Airlines,B737
849,Zabaykalskii Airlines,A332
850,Sky Work Airlines,B744
851,Island Express Air,B77W
852,Aeroper,B744
853,Sky Express,E170
854,Norwegian Long Haul AS,B752
855,Air Arabia,A320
856,CCML Airlines,AT75
857,Star Equatorial Airlines,B752
858,Arik Air,A320
859,TAMPA,B744
860,Southjet,B763
861,South East Asian Airlines,DH8D
862,Tomp Airlines,A332
863,Bayu Indonesia Air,C172
864,Travel Service,AT75
865,Tiara Air,B789
866,Sibaviatrans,B763
867,All Spain,E190
868,Dennis Sky,CRJ9
869,Lufthansa Cargo,AT76
870,Eurowings,A319
871,Sky Express,B737
872,Tunisair,DH8D
873,Hope Air,B738
874,Air Fiji,B772
875,Polynesian Blue,AT75
876,Northwest Airlines,E190
877,Brit Air,C172
878,LSM AIRLINES ,C172
879,Himalayan Airlines,E170
880,Spirit of Manila Airlines,A388
881,Nok Air,B772
882,Amsterdam Airlines,AT76
883,Spring Airlines,B752
884,Surinam Airways,A332
885,Nordeste Linhas Aereas Regionais,A321
886,Qantas,B77W
887,Rio Grande Air,A332
888,Air VIA,B77L
889,Servicios de Transportes A,A388
890,East African Safari Air,B788
891,Intersky,B744
892,Air Contractors,A388
893,Ghana International Airlines,B772
894,Camair-co,CRJ9
895,Aloha Airlines,B737
896,INFINI Travel Information,B789
897,LTU Austria,B772
898,Gambia International Airlines,E190
899,Centavia,A332
900,Citilink Indonesia,B772
901,Blue Dart Aviation,AT75
902,buzz,B752
903,Suckling Airways,B772
904,Conviasa,B739
905,Druk Air,DH8D
906,Estafeta Carga Aerea,E170
907,Edelweiss Air,AT76
908,Palair Macedonia (3D),B77L
909,All Australia,A320
910,Aerolineas Galapagos (Aerogal),B789
911,O'Connor Airlines,B77W
912,Cargo Plus Aviation,AT76
913,Gol Transportes Aéreos,A333
914,Skyways Express,B738
915,VASP,E170
916,Changan Airlines,B744
917,Air Service Gabon,A319
918,TransHolding System,E170
919,Nauru Air Corporation,AT75
920,Icelandair,A333
921,Air Niugini,E170
922,Air Dolomiti,C172
923,Shanghai Airlines,A333
924,Astair,E190
925,Dummy,B772
926,Air Baltic,B752
927,Transeuropean Airlines,B737
928,Trast Aero,A320
929,Florida West International Airways,B744
930,Genesis,E170
931,Air Contractors,B737
932,EVA Air,B789
933,Druk Air,A333
934,Tavrey Airlines,A388
935,Marusya Airways,B763
936,JALways,A388
937,Himalayan Airlines,A333
938,Comair,A388
939,Private flight,AT76
940,Cargo 360,B788
941,Sutra,A319
942,GoDutch,B738
943,Compass Airlines,E190
944,Air Burundi,B739
945,Skyjet Airlines,B763
946,Canadian National Airways,B77W
947,Worldways,E190
948,Business Aviation,A332
949,Maxair,A321
950,Shandong Airlines,A332
951,Sun Country Airlines,AT76
952,CheapFlyingInternational,B738
953,Corse-Mediterranee,E170
954,Consorcio Aviaxsa,B77L
955,Kibris T,B737
956,Royal Khmer Airlines,B738
957,UM Airlines,A319
958,Worldspan,AT76
959,European Air Express,B789
960,VASP,C172
961,Air Bourbon,B752
962,Redhill Aviation,B752
963,US Airways,E190
964,SGA Airlines,B744
965,Birmingham European,E190
966,Aerocondor,DH8D
967,LionXpress,B744
968,V Air,DH8D
969,bmi,C172
970,Hellenic Airways,A332
971,Island Airlines,A333
972,Swiss International Air Lines,A320
973,Windward Islands Airways,B772
974,Dense Connection,B788
975,Centurion Air Cargo,B77L
976,Transport Aérien Transrégional,A332
977,Air Nippon Network Co. Ltd.,B772
978,Helvetic Airways,A388
979,Rainbow Air US,A333
980,Gomelavia,A332
981,Air Midwest,AT76
982,HQ- Business Express,A321
983,Saudi Arabian Airlines,AT75
984,Helvetic Airways,A333
985,Rainbow Air Polynesia,DH8D
986,Sierra National Airlines,B752
987,Chari Aviation Services,B744
988,Air Cargo Carriers,E190
989,Air Service Gabon,B744
990,Swissair,AT76
991,Air Plus Comet,A319
992,Druk Air,B744
993,FlyPortugal,DH8D
994,Air Lithuania,B788
995,Myanmar Airways International,A321
996,Citilink Indonesia,B788
997,Corsairfly,B763
998,Tajik Air,A320
999,Airbus France,B772
1000,Abelag Aviation,E170
1001,Indonesia Sky,B772
1002,Adria Airways,B737
1003,Airborne Express,B772
1004,Trans World Airlines,B788
1005,Air Caledonie International,CRJ9
1006,Monarch Airlines,C172
1007,Alaska Seaplane Service,DH8D
1008,Air Plus Comet,B772
1009,CanXpress,AT75
1010,Patriot Airways,E190
1011,Nepal Airlines,B744
1012,Air Hong Kong,B763
