fid,arrivalTime,departureTime,destination,departure,registrationNumber
OB34,2022-11-06 21:41:36,2022-11-06 10:41:36,Lappeenranta Airport,Daman Airport,17242
O735,2021-08-31 13:05:09,2021-08-30 13:05:09,Merritt Island Airport,King Khaled Military City Airport,20434
0A36,2020-11-19 06:28:49,2020-11-18 07:28:49,Pitts Town Airport,Fort Mackay / Horizon Airport,2682
QO37,2022-12-21 13:49:41,2022-12-20 13:49:41,Minaçu Airport,Shaikh Zaid Airport,8148
7G38,2022-07-23 17:14:14,2022-07-23 04:14:14,Paranavaí Airport,Sulaymaniyah International Airport,16273
BN39,2022-06-08 14:26:33,2022-06-07 21:26:33,Dabra Airport,Boca Raton Airport,21913
9Y40,2023-04-14 00:47:06,2023-04-13 21:47:06,Scott AFB/Midamerica Airport,Ørland Airport,7482
V541,2022-05-08 02:15:22,2022-05-07 18:15:22,Bocas Del Toro International Airport,Nantong Airport,23023
H842,2021-03-01 13:05:03,2021-03-01 04:05:03,Lackland Air Force Base,Okao Airport,17044
MB43,2020-08-14 00:53:30,2020-08-13 15:53:30,Grand Lake Regional Airport,Hastings Airport,15456
::44,2020-01-07 21:40:05,2020-01-06 21:40:05,West Wyalong Airport,Richard Lloyd Jones Jr Airport,5841
FG45,2022-06-02 19:12:48,2022-06-02 03:12:48,Ujae Atoll Airport,Saposoa Airport,10092
BX46,2021-04-27 07:32:19,2021-04-26 23:32:19,Leribe Airport,Port Sudan New International Airport,25432
TZ47,2022-08-28 08:13:11,2022-08-28 04:13:11,Ten. Cel. Aviador César Bombonato Airport,Raglan Airfield,16536
VD48,2023-03-14 12:15:18,2023-03-14 10:15:18,Esperadinha Airport,Carlos Manuel de Cespedes Airport,20609
PA49,2021-04-20 21:36:06,2021-04-20 17:36:06,Arkansas International Airport,Bulimba Airport,873
M350,2020-09-05 05:08:52,2020-09-04 05:08:52,Cordova Municipal Airport,Capitan Oriel Lea Plaza Airport,5029
L651,2023-03-13 23:56:50,2023-03-13 22:56:50,Bardera Airport,Burke Lakefront Airport,13862
LM52,2023-02-09 19:30:32,2023-02-09 02:30:32,Lyall Harbour Seaplane Base,Sønderborg Airport,2971
FF53,2021-12-31 07:13:28,2021-12-30 10:13:28,Khatgal Airport,Austin Municipal Airport,12362
S354,2020-07-25 17:57:31,2020-07-24 23:57:31,Tulaghi Heliport,Hartley Bay Seaplane Base,15746
2O55,2021-09-02 19:48:10,2021-09-01 21:48:10,Balsas Airport,Camden Airport,6289
OG56,2022-06-21 11:33:01,2022-06-20 12:33:01,Jumla Airport,Martin Miguel De Guemes International Airport,24844
AD57,2021-07-19 22:22:06,2021-07-19 01:22:06,Ust-Maya Airport,İncirlik Air Base,24915
7658,2020-09-04 04:15:01,2020-09-03 23:15:01,Wellington International Airport,Whitianga Airport,17705
CN59,2022-06-20 02:21:18,2022-06-19 10:21:18,The Ohio State University Airport - Don Scott Field,Jacquinot Bay Airport,6368
EH60,2023-04-09 13:45:02,2023-04-09 01:45:02,Aboisso Airport,Norman Y. Mineta San Jose International Airport,17121
::61,2022-06-29 09:08:56,2022-06-29 08:08:56,Charlotte Douglas International Airport,Tureia Airport,670
LT62,2023-09-08 03:04:20,2023-09-08 01:04:20,Francisco Sarabia International Airport,Faleolo International Airport,17642
J963,2021-11-18 20:20:18,2021-11-18 16:20:18,Rick Husband Amarillo International Airport,New Ishigaki Airport,13787
MI64,2022-06-13 04:59:05,2022-06-12 21:59:05,Merrill Municipal Airport,Mulege Airport,10311
2G65,2023-04-06 19:06:58,2023-04-06 15:06:58,New Coalinga Municipal Airport,Tajima Airport,3561
TW66,2021-08-29 04:19:29,2021-08-28 11:19:29,Beijing Daxing International Airport,Okha Airport,22792
AB67,2022-04-19 06:06:10,2022-04-18 08:06:10,Karshi Khanabad Airport,Larnaca International Airport,14351
JN68,2020-11-12 02:53:39,2020-11-11 20:53:39,Massawa International Airport,Gorge Harbour Seaplane Base,5567
U169,2023-10-28 18:09:40,2023-10-27 20:09:40,Addison Airport,Missoula International Airport,6233
FF70,2022-05-20 23:39:30,2022-05-19 23:39:30,Fagurhólsmýri Airport,Sion Airport,20395
MT71,2023-05-14 04:00:21,2023-05-13 18:00:21,Yam Island Airport,Ylivieska Airfield,1297
MA72,2021-07-08 08:58:13,2021-07-07 23:58:13,Aqaba King Hussein International Airport,Rennell/Tingoa Airport,22648
LX73,2022-01-10 14:28:49,2022-01-09 17:28:49,Kamaran Downs Airport,Fuma Airport,6152
0G74,2023-09-12 17:38:13,2023-09-12 08:38:13,Bosaso Airport,Maury County Airport,3064
GB75,2022-02-20 09:04:10,2022-02-19 09:04:10,Momote Airport,Licenciado y General Ignacio Lopez Rayon Airport,8507
SO76,2020-11-21 09:28:16,2020-11-21 00:28:16,RAF Greenham Common,RAF Mildenhall,15352
E677,2020-04-28 23:19:16,2020-04-28 21:19:16,Wonenara Airport,Sidney Municipal-Lloyd W Carr Field,14933
DJ78,2020-12-05 08:42:53,2020-12-05 03:42:53,Nantes Atlantique Airport,Cork Airport,17801
V579,2022-01-24 05:47:18,2022-01-23 06:47:18,Andøya Airport,Hayman Island Resort Seaplane Base,8913
5D80,2021-04-26 07:34:13,2021-04-25 09:34:13,Gällivare Airport,El Reno Regional Airport,5355
7F81,2021-07-05 06:39:16,2021-07-04 11:39:16,Mardin Airport,Wake Island Airfield,13376
T982,2023-11-26 13:41:18,2023-11-26 12:41:18,Nanyuki Airport,Araraquara Airport,14961
Y183,2020-08-01 01:43:17,2020-07-31 08:43:17,Comilla Airport,Locarno Airport,18596
3W84,2020-01-12 18:33:35,2020-01-12 14:33:35,Rurutu Airport,East Hampton Airport,27061
S885,2021-07-23 15:39:01,2021-07-23 05:39:01,Cognac-Châteaubernard (BA 709) Air Base,Capitán Av. German Quiroga G. Airport,18330
NE86,2022-02-17 01:30:22,2022-02-16 21:30:22,Abau Airport,Yotvata Airfield,5266
\\'87,2022-09-25 00:26:04,2022-09-24 22:26:04,Maningrida Airport,Sarandi Airport,17065
LM88,2021-04-27 00:36:10,2021-04-26 15:36:10,Delta County Airport,A P Hill AAF (Fort A P Hill) Airport,15039
MF89,2023-11-25 04:24:39,2023-11-25 02:24:39,Yecheon Airbase,Cafunfo Airport,17533
SS90,2022-11-09 23:16:36,2022-11-09 05:16:36,Ghanzi Airport,Monteagudo Airport,18239
V891,2022-06-09 16:55:12,2022-06-09 03:55:12,Palm Beach Seaplane Base,Fazenda Vassoural Airport,21205
EJ92,2020-10-22 23:17:52,2020-10-22 20:17:52,Strother Field,Mururoa Atoll Airport,2767
F993,2020-12-02 07:52:41,2020-12-01 15:52:41,Coronel Horácio de Mattos Airport,Terre-de-Haut Airport,22127
OB94,2020-09-01 10:42:56,2020-08-31 19:42:56,Martin Miguel De Guemes International Airport,Altus Air Force Base,20725
N295,2020-11-19 11:55:29,2020-11-18 15:55:29,Rijeka Airport,St Petersburg Clearwater International Airport,15576
TJ96,2022-07-01 11:50:00,2022-07-01 06:50:00,Chichen Itza International Airport,Willmar Municipal -John L Rice Field,21777
Q997,2023-09-14 17:39:28,2023-09-14 07:39:28,Moses Kilangin Airport,Dianópolis Airport,2586
0B98,2020-09-18 13:54:41,2020-09-17 19:54:41,Tradewind Airport,Harrell Field,25008
AG99,2020-11-14 18:53:06,2020-11-14 08:53:06,Ramstein Air Base,Eppley Airfield,20778
E5100,2023-05-26 11:41:17,2023-05-25 17:41:17,Teller Airport,Wrotham Park Airport,10918
F4101,2023-01-25 07:45:54,2023-01-24 09:45:54,Victoria Reservoir Seaplane Base,Pilot Station Airport,27591
AE102,2023-07-01 09:05:01,2023-07-01 04:05:01,Salgado Filho Airport,Londolovit Airport,1842
YP103,2023-11-27 01:10:00,2023-11-26 06:10:00,Guari Airport,Warangal Airport,17492
KH104,2020-01-13 10:12:14,2020-01-13 03:12:14,Zaranj Airport,Chigorodó Airport,12017
AX105,2023-07-06 14:12:03,2023-07-06 12:12:03,Suntar Airport,South Indian Lake Airport,24521
PC106,2020-02-24 10:35:56,2020-02-23 18:35:56,Fairmont Hot Springs Airport,Adado Airport,2474
3R107,2021-07-11 22:14:02,2021-07-11 10:14:02,Juan Casiano Airport,Big Bell Airport,17336
B1108,2022-08-11 16:14:41,2022-08-11 11:14:41,Ruti Airport,"Mo i Rana Airport, Røssvoll",15143
AN109,2021-06-08 19:33:48,2021-06-08 19:33:48,Victoria Regional Airport,Salem Airport,4811
8B110,2023-06-23 03:49:45,2023-06-22 15:49:45,Qeqertaq Heliport,Sultan Ismail Petra Airport,22787
E8111,2022-11-12 01:07:59,2022-11-11 09:07:59,Eisenach-Kindel Airport,Lappeenranta Airport,22560
Z7112,2022-03-14 19:44:49,2022-03-14 11:44:49,Ambatomainty Airport,Myrhorod Air Base,10554
GS113,2023-06-27 09:20:05,2023-06-27 09:20:05,Gifu Airport,Nomad River Airport,21908
W6114,2023-06-27 23:51:17,2023-06-27 05:51:17,Tinboli Airport,Kasonombe Airport,15101
MS115,2020-12-13 14:23:15,2020-12-13 10:23:15,Saidpur Airport,Brussels South Charleroi Airport,10128
E9116,2023-02-17 08:54:05,2023-02-17 05:54:05,Ingalls Field,Kangiqsualujjuaq (Georges River) Airport,27044
8Z117,2021-12-22 12:46:54,2021-12-21 22:46:54,Monkira Airport,San Fernando Airport,4274
SH118,2021-03-20 09:18:36,2021-03-20 08:18:36,Presidente General Don Oscar D. Gestido International Airport,Norfolk Naval Station (Chambers Field),3940
WK119,2022-02-26 03:32:39,2022-02-25 19:32:39,Choiseul Bay Airport,Kandahar Airport,17177
T6120,2020-09-20 19:21:01,2020-09-20 15:21:01,Mackinac Island Airport,Sangster International Airport,16061
E6121,2022-05-11 08:43:59,2022-05-10 11:43:59,Embessa Airport,Lar Airport,27329
AV122,2022-12-29 15:17:00,2022-12-29 14:17:00,Leo Airport,Huallaga Airport,15744
PF123,2023-01-31 05:16:21,2023-01-30 18:16:21,Shangrao Sanqingshan Airport,Enua Airport,18514
D5124,2021-10-03 19:53:00,2021-10-02 22:53:00,Båtsfjord Airport,Moro Airport,2806
YT125,2020-02-17 20:54:06,2020-02-17 13:54:06,Puerto La Victoria Airport,Ramon Air Base,6004
HX126,2023-07-18 08:31:35,2023-07-17 18:31:35,Júlio de Castilho Airport,Kowanyama Airport,8710
QW127,2022-12-17 07:04:35,2022-12-17 02:04:35,Ingham Airport,Lake Cumberland Regional Airport,22104
V5128,2020-11-09 03:45:14,2020-11-08 23:45:14,Tambao Airport,Cape Eleuthera Airport,12502
8W129,2022-12-18 00:58:15,2022-12-17 02:58:15,Samana El Portillo Airport,Karluk Lake Seaplane Base,8497
9S130,2023-05-18 23:33:04,2023-05-18 04:33:04,Clarks Point Airport,Eagle Air Park,25740
CY131,2022-02-09 15:40:17,2022-02-08 21:40:17,Long Island Airport,Maroantsetra Airport,4131
6H132,2023-08-20 11:43:03,2023-08-19 11:43:03,Range Regional Airport,Ilo Airport,354
UK133,2020-01-07 23:17:50,2020-01-07 05:17:50,Savusavu Airport,Merle K (Mudhole) Smith Airport,3491
J7134,2020-11-19 16:19:12,2020-11-19 15:19:12,Moreton Airport,Brawley Municipal Airport,24974
H5135,2020-02-12 23:11:02,2020-02-12 16:11:02,Mactan Cebu International Airport,Halifax / Stanfield International Airport,25049
RS136,2022-05-23 17:11:58,2022-05-22 17:11:58,Morobe Airport,Okadama Airport,10686
VA137,2023-05-31 21:15:27,2023-05-31 15:15:27,Buchanan Field,Akutan Seaplane Base,9338
1I138,2021-02-21 03:09:43,2021-02-20 04:09:43,Kegelman AF Aux Field,Villa Airport,12171
PC139,2023-08-03 12:39:18,2023-08-02 21:39:18,Mae Hong Son Airport,Novo Horizonte Airport,21938
L3140,2020-09-17 10:34:16,2020-09-17 01:34:16,Gravatai Airport,Magan Airport,1226
I5141,2021-09-17 01:49:42,2021-09-16 14:49:42,Volta Redonda Airport,Ivujivik Airport,26052
V0142,2020-06-24 09:09:50,2020-06-24 00:09:50,Belgorod International Airport,Monkey Mountain Airport,21149
AE143,2022-04-20 13:18:12,2022-04-20 02:18:12,Buariki Airport,São Jorge Airport,18034
CH144,2020-07-02 01:10:36,2020-07-01 08:10:36,Vologda Airport,Parma Airport,22537
G0145,2020-07-27 23:32:08,2020-07-27 22:32:08,Néma Airport,Beech Factory Airport,26481
NV146,2021-03-06 20:13:58,2021-03-06 12:13:58,Billund Airport,Xiangyang Liuji Airport,7487
1H147,2022-04-19 20:44:43,2022-04-19 12:44:43,Kaolack Airport,Mtwara Airport,6840
KF148,2020-03-07 22:05:39,2020-03-07 11:05:39,Guthrie-Edmond Regional Airport,Wondoola Airport,12757
PU149,2022-06-20 13:22:26,2022-06-19 17:22:26,Burevestnik Airport,Chetumal International Airport,4415
VT150,2023-07-07 20:02:35,2023-07-07 06:02:35,Bossangoa Airport,Varandey Airport,26436
N9151,2020-07-05 15:47:04,2020-07-05 15:47:04,Los Alamos Airport,Mercer County Airport,5815
69152,2022-11-09 01:37:08,2022-11-08 15:37:08,Heglig Airport,Changsha Huanghua International Airport,2287
CE153,2023-04-02 01:19:06,2023-04-01 17:19:06,Košice Airport,Tabuk Airport,10435
IL154,2022-07-06 01:58:32,2022-07-05 13:58:32,Lunyuk Airport,Chu Lai International Airport,11859
J6155,2023-09-03 15:34:34,2023-09-03 12:34:34,La Porte Municipal Airport,Flensburg-Schäferhaus Airport,19988
OA156,2022-11-15 17:26:40,2022-11-14 22:26:40,Casiguran Airport,Álamos Airport,174
77157,2023-02-27 22:14:05,2023-02-27 10:14:05,Goulimime Airport,Teniente FAP Jaime A De Montreuil Morales Airport,15475
M8158,2021-10-06 17:17:36,2021-10-06 04:17:36,Gwaunaru'u Airport,Palm Beach International Airport,8328
YV159,2020-12-28 13:48:43,2020-12-28 01:48:43,Oktyabrskiy Airport,Stevens Point Municipal Airport,26435
GY160,2022-04-20 16:23:10,2022-04-19 16:23:10,Eagle River Union Airport,Moro Airport,25261
BA161,2021-02-14 23:37:46,2021-02-14 21:37:46,Al-Bough Airport,Blida Airport,26836
CC162,2021-11-27 06:37:48,2021-11-26 10:37:48,Kake Seaplane Base,Norway House Airport,26582
Z7163,2020-06-21 18:12:31,2020-06-20 23:12:31,Kelafo East Airport,Hill City Municipal Airport,5503
VC164,2023-11-20 08:39:13,2023-11-19 10:39:13,Tullahoma Regional Arpt/Wm Northern Field,Tafaraoui Airport,2928
XP165,2022-08-29 20:17:40,2022-08-28 21:17:40,Horta Airport,Lanyu Airport,23949
GC166,2023-03-20 14:37:22,2023-03-19 22:37:22,Elliot Lake Municipal Airport,La Araucanía Airport,826
J8167,2020-01-17 19:45:43,2020-01-17 15:45:43,Mesquite Airport,Gabès Matmata International Airport,24161
OH168,2023-01-17 06:59:42,2023-01-17 03:59:42,King Salman Abdulaziz Airport,Palo Verde Airport,4294
TB169,2020-02-18 20:52:42,2020-02-18 14:52:42,Fort St John Airport,Daniel Field,5409
U1170,2022-08-24 21:29:39,2022-08-24 14:29:39,Gold Beach Municipal Airport,Mar de Cortés International Airport,20753
N6171,2021-10-11 23:29:31,2021-10-11 12:29:31,Gurupi Airport,La Chinita International Airport,21292
9S172,2021-07-31 02:07:21,2021-07-30 02:07:21,Tenkodogo Airport,Houston Gulf Airport,23905
3J173,2022-02-08 05:21:38,2022-02-08 05:21:38,Nejjo Airport,Pathankot Airport,1168
H3174,2022-08-26 10:51:29,2022-08-26 00:51:29,Brussels Airport,Sendai Airport,7494
JR175,2020-02-09 15:42:38,2020-02-09 12:42:38,Dangriga Airport,Fuyang Xiguan Airport,20431
1Q176,2021-06-06 16:10:12,2021-06-06 05:10:12,Boone Municipal Airport,Alto Palena Airport,5816
UR177,2021-10-19 04:05:55,2021-10-18 23:05:55,Moenjodaro Airport,Havre St Pierre Airport,15920
4Q178,2023-10-20 07:57:04,2023-10-20 01:57:04,St Jean Airport,Antonio Roldan Betancourt Airport,9531
L7179,2021-12-29 03:39:19,2021-12-28 18:39:19,Moki Airport,Andamooka Airport,21813
DA180,2020-02-10 17:42:52,2020-02-09 20:42:52,Umba Airport,Cassilândia Airport,22441
1K181,2020-05-05 10:09:30,2020-05-05 04:09:30,Mosjøen Airport (Kjærstad),Castlereagh Lake Seaplane Base,10695
F8182,2022-06-21 19:28:00,2022-06-21 16:28:00,Mytilene International Airport,Tuticorin Airport,23946
KP183,2021-11-30 08:46:44,2021-11-30 08:46:44,Naiu Airport,Mamburao Airport,15714
OE184,2022-02-28 05:19:46,2022-02-28 00:19:46,Urzhar Airport,Eneabba Airport,11037
BN185,2020-12-05 15:04:55,2020-12-04 22:04:55,Julius Nyerere International Airport,Fort Simpson Airport,6974
D3186,2022-01-14 12:04:36,2022-01-14 07:04:36,Butaritari Atoll Airport,Tambolaka Airport,19708
FX187,2022-08-01 06:00:59,2022-07-31 13:00:59,Tonopah Test Range Airport,McKellar-Sipes Regional Airport,2336
J4188,2020-06-03 19:59:40,2020-06-03 09:59:40,Humacao Airport,Robert (Bob) Curtis Memorial Airport,5068
6U189,2022-11-17 07:05:02,2022-11-16 11:05:02,Concórdia Airport,Qiemo Yudu Airport,27919
8A190,2023-05-15 20:14:47,2023-05-15 19:14:47,Mount Hagen Kagamuga Airport,Kavieng Airport,6230
8H191,2022-06-22 09:04:39,2022-06-22 04:04:39,Luang Phabang International Airport,Rock Hill - York County Airport,9966
NN192,2022-03-11 01:07:13,2022-03-10 03:07:13,Helgoland-Düne Airport,Tangshan Sannühe Airport,15962
AM193,2020-02-18 12:28:32,2020-02-17 22:28:32,Martinique Aimé Césaire International Airport,Teller Airport,27782
L7194,2020-01-30 04:00:27,2020-01-29 17:00:27,San Blas Airport,San Tomé Airport,6301
Z4195,2021-11-21 01:13:58,2021-11-20 04:13:58,Colonsay Airstrip,Las Brujas Airport,14981
TT196,2020-09-13 22:48:42,2020-09-13 18:48:42,Jubail Airport,Ceduna Airport,10441
L1197,2023-03-21 14:37:44,2023-03-20 22:37:44,Héroes De Malvinas Airport,Loani Airport,16000
TG198,2021-10-09 23:17:53,2021-10-09 13:17:53,Repulse Bay Airport,Lake Charles Regional Airport,19758
QR199,2021-04-27 11:52:05,2021-04-26 20:52:05,Oban Airport,Iberia Airport,9847
C0200,2021-09-18 23:25:58,2021-09-18 12:25:58,La Baule-Escoublac Airport,Helenvale Airport,26717
NF201,2022-09-07 20:23:58,2022-09-07 02:23:58,Brigham City Regional Airport,Scatsta Airport,20939
SS202,2021-06-10 11:16:52,2021-06-09 21:16:52,Pontes e Lacerda Airport,Igarka Airport,14386
RM203,2023-08-12 09:34:45,2023-08-11 10:34:45,Calbayog Airport,Aeroclube Airport,14445
ON204,2023-01-01 22:31:25,2023-01-01 09:31:25,Lanzhou Zhongchuan Airport,Juan Simons Vela Airport,6173
AD205,2023-07-31 08:40:25,2023-07-30 18:40:25,Juan De Ayolas Airport,Málaga Airport,19431
3E206,2023-09-04 18:25:24,2023-09-04 17:25:24,Owen Sound / Billy Bishop Regional Airport,Tavie Airport,9926
GF207,2023-07-19 16:01:19,2023-07-19 03:01:19,Kazan International Airport,Kneeland Airport,16139
6U208,2022-02-18 18:57:14,2022-02-18 04:57:14,Pumani Airport,RAF Wyton,16286
QC209,2023-09-08 13:26:16,2023-09-08 02:26:16,Santa Rosa de Copán Airport,Z M Jack Stell Field,547
ZK210,2021-12-20 01:07:12,2021-12-19 20:07:12,Teuku Cut Ali Airport,Maury County Airport,11070
IX211,2021-10-10 10:28:23,2021-10-09 17:28:23,Livengood Camp Airport,Tyndall Air Force Base,16608
PZ212,2022-02-10 21:38:04,2022-02-10 19:38:04,Flushing Airport,Sidney - Richland Regional Airport,11253
1I213,2020-05-13 11:43:14,2020-05-12 19:43:14,Clyde River Airport,Kasonombe Airport,20432
4H214,2022-01-21 23:59:49,2022-01-21 20:59:49,Sidney Municipal-Lloyd W Carr Field,Livengood Camp Airport,8518
IJ215,2023-11-02 13:25:22,2023-11-01 22:25:22,Fort McMurray Airport,Sangir Airport,1391
9X216,2021-05-15 01:14:15,2021-05-14 15:14:15,Bahia Cupica Airport,Morichal Airport,17002
NR217,2022-08-13 23:52:21,2022-08-13 15:52:21,Atar International Airport,Coolawanyah Airport,24208
W1218,2021-09-07 03:21:09,2021-09-06 23:21:09,LaGrange Callaway Airport,Mid Delta Regional Airport,8644
R7219,2020-04-22 06:32:32,2020-04-21 19:32:32,Port Harcourt International Airport,Kalaeloa Airport,4155
4F220,2021-09-19 00:16:41,2021-09-18 08:16:41,Central Nebraska Regional Airport,Kerrville Municipal Louis Schreiner Field,21548
QD221,2023-05-04 21:35:03,2023-05-03 23:35:03,Wiley Post Airport,Ballera Airport,4304
0P222,2022-09-01 23:06:42,2022-09-01 01:06:42,Plattsburgh International Airport,Ekibastuz Airport,7326
AC223,2021-12-09 16:42:51,2021-12-09 00:42:51,Mushaf Air Base,Iwakuni Marine Corps Air Station,4545
2O224,2023-05-19 14:06:41,2023-05-18 16:06:41,Wadi Al Dawasir Airport,D. Casimiro Szlapelis Airport,12762
EH225,2021-05-18 22:21:56,2021-05-18 02:21:56,Chicago Executive Airport,Will Rogers World Airport,3184
LS226,2022-01-28 19:34:26,2022-01-28 01:34:26,Dalby Airport,Simanggang Airport,19601
RN227,2020-09-28 15:32:07,2020-09-28 11:32:07,Ludhiana Airport,Farafangana Airport,3136
V3228,2023-02-04 11:41:14,2023-02-03 22:41:14,Corumbá International Airport,Sanderson Field,7797
GT229,2023-04-23 12:27:54,2023-04-22 16:27:54,Kualanamu International Airport,Ajaccio-Napoléon Bonaparte Airport,8095
3L230,2022-09-11 07:46:02,2022-09-11 05:46:02,Mueo Airport,Aurukun Airport,21822
Z9231,2020-11-05 01:12:45,2020-11-04 15:12:45,Ville Airport,Imperial Municipal Airport,20316
JA232,2021-12-30 03:34:04,2021-12-29 10:34:04,Mansehra Airport,Costa Esmeralda Airport,19015
WX233,2023-06-25 00:26:41,2023-06-24 11:26:41,Minchumina Airport,Chan Gurney Municipal Airport,14841
VZ234,2020-12-23 15:37:11,2020-12-23 01:37:11,Mys Kamenny Airport,Shaw Air Force Base,4086
TE235,2023-04-14 00:20:29,2023-04-13 06:20:29,Hayman Island Resort Seaplane Base,Wake Island Airfield,22442
5D236,2022-09-30 19:11:04,2022-09-30 02:11:04,Momote Airport,Pendopo Airport,11922
SQ237,2023-07-17 03:54:55,2023-07-16 13:54:55,Kenmore Air Harbor Inc Seaplane Base,William T. Piper Memorial Airport,27198
VV238,2023-09-29 07:12:47,2023-09-28 07:12:47,Kaukura Airport,Mbuji Mayi Airport,18409
HB239,2023-03-13 00:16:57,2023-03-12 10:16:57,Mandalay International Airport,Blackpool International Airport,21502
9A240,2021-01-01 05:40:05,2021-01-01 02:40:05,Saint-Brieuc-Armor Airport,Nelson Ribeiro Guimarães Airport,7576
ER241,2021-04-09 16:46:56,2021-04-09 11:46:56,Los Cerrillos Airport,Sei Bati Airport,22337
0M242,2023-05-24 07:16:49,2023-05-24 07:16:49,Kugluktuk Airport,Palestine Municipal Airport,5454
M3243,2021-04-26 05:59:40,2021-04-26 05:59:40,Mafia Island Airport,Kenmore Air Harbor Inc Seaplane Base,17546
A5244,2023-08-12 22:24:15,2023-08-12 06:24:15,Am Timan Airport,Pyay Airport,25251
Z7245,2023-09-11 00:27:49,2023-09-10 01:27:49,Sawyer International Airport,Kansai International Airport,17994
FF246,2023-07-13 10:37:24,2023-07-13 02:37:24,Lilongwe International Airport,Seward Airport,9419
BN247,2020-11-20 23:09:24,2020-11-20 20:09:24,Jurado Airport,Seymour Airport,4870
N5248,2021-11-26 04:12:08,2021-11-25 08:12:08,Pecos Municipal Airport,Montevideo Chippewa County Airport,4800
VV249,2023-04-12 08:28:07,2023-04-11 13:28:07,Shay Gap Airport,Maiana Airport,8928
P9250,2022-10-09 04:59:40,2022-10-08 14:59:40,Shanghai Pudong International Airport,Xai-Xai Airport,19423
OL251,2021-03-09 11:29:48,2021-03-08 16:29:48,Yecheon Airbase,Broken Bow Municipal Airport,21280
